Candidaturas 2019 ;Votos 2019 ;%  2019 ;Diputados/as 2019 ;Candidaturas 2016 ;Votos 2016 ;%  2016 ;Diputados/as 2016
PSOE;7480755;28,68;123;PSOE;5443846;22,63;85
PP;4356023;16,70;66;PP;7941236;33,01;137
Cs;4136600;15,86;57;Cs;3141570;13,06;32
PODEMOSIUEQUO;3118191;11,95;35;PODEMOSIUEQUO;3227123;13,42;45
VOX;2677173;10,26;24;VOX;47182;0,20;0
ERCSOBIRANISTES;1015355;3,89;15;ERCSOBIRANISTES;632234;2,63;9
ECPGUANYEM EL CANVI;614738;2,36;7;ECPGUANYEM EL CANVI;853102;3,55;12
JxCATJUNTS;497638;1,91;7;JxCATJUNTS;;;
EAJPNV;394627;1,51;6;EAJPNV;287014;1,19;5
EH Bildu;258840;0,99;4;EH Bildu;184713;0,77;2
CCaPNC;137196;0,53;2;CCaPNC;78253;0,33;1
NA+;107124;0,41;2;NA+;;;
COMPROMÍS 2019;172751;0,66;1;COMPROMÍS 2019;;;
PRC;52197;0,20;1;PRC;;;
PACMA;326045;1,25;0;PACMA;286702;1,19;0
FRONT REPUBLICÀ;113008;0,43;0;FRONT REPUBLICÀ;;;
BNG;93810;0,36;0;BNG;45252;0,19;0
RECORTES CEROGV;46487;0,18;0;RECORTES CEROGV;51907;0,22;0
NCa;36193;0,14;0;NCa;;;
PACT;30448;0,12;0;PACT;;;
ARAMESESQUERRA;25384;0,10;0;ARAMESESQUERRA;;;
GBAI;22150;0,08;0;GBAI;14343;0,06;0
PUM+J;21711;0,08;0;PUM+J;;;
EN MAREA;17726;0,07;0;EN MAREA;;;
PCTE;14189;0,05;0;PCTE;;;
EL PI;11671;0,04;0;EL PI;;;
AxSI;11485;0,04;0;AxSI;;;
PCOE;9094;0,03;0;PCOE;1822;0,01;0
PCPE;8991;0,03;0;PCPE;26627;0,11;0
AVANT ADELANTE LOS VERDES;7251;0,03;0;AVANT ADELANTE LOS VERDES;;;
EB;7128;0,03;0;EB;11669;0,05;0
CpM;6890;0,03;0;CpM;;;
SOMOS REGIÓN;5018;0,02;0;SOMOS REGIÓN;;;
PCPA;4737;0,02;0;PCPA;;;
PH;4435;0,02;0;PH;3012;0,01;0
UIGSOMCUIDES;4433;0,02;0;UIGSOMCUIDES;;;
ERPV;4203;0,02;0;ERPV;;;
IZQP;3409;0,01;0;IZQP;;;
PCPC;3373;0,01;0;PCPC;;;
AHORA CANARIAS;3027;0,01;0;AHORA CANARIAS;;;
CxG;2692;0,01;0;CxG;;;
PPSO;2656;0,01;0;PPSO;;;
CNV;2406;0,01;0;CNV;;;
PREPAL;2135;0,01;0;PREPAL;668;0;0
CExCRExPREx;2135;0,01;0;CExCRExPREx;;;
PR+;2080;0,01;0;PR+;;;
PLIB;1250;0;0;PLIB;2996;0,01;0
CILULINARES;1079;0;0;CILULINARES;;;
ANDECHA ASTUR;909;0;0;ANDECHA ASTUR;;;
JF;872;0;0;JF;;;
PYLN;824;0;0;PYLN;;;
FIA;803;0;0;FIA;550;0;0
FE de las JONS;641;0;0;FE de las JONS;9909;0,04;0
SOLIDARIA;627;0;0;SOLIDARIA;;;
F8;566;0;0;F8;;;
DPL;539;0;0;DPL;;;
UNIÓN REGIONALISTA;483;0;0;UNIÓN REGIONALISTA;;;
centrados;458;0;0;centrados;;;
DP;308;0;0;DP;;;
VOU;303;0;0;VOU;;;
PDSJEUDEC;276;0;0;PDSJEUDEC;;;
IZAR;253;0;0;IZAR;687;0;0
RISA;188;0;0;RISA;;;
C 21;69;0;0;C 21;;;
+MAS+;46;0;0;+MAS+;;;
UDT;28;0;0;UDT;48;0;0
;;;;;659771;2,74;9
;;;;;483488;2,01;8
;;;;;347542;1,44;5
;;;;;50247;0,21;0
;;;;;7418;0,03;0
;;;;;6647;0,03;0
;;;;;6273;0,03;0
;;;;;3110;0,01;0
;;;;;3011;0,01;0
;;;;;2672;0,01;0
;;;;;2295;0,01;0
;;;;;1727;0,01;0
;;;;;1190;0;0
;;;;;846;0;0
;;;;;830;0;0
;;;;;724;0;0
;;;;;723;0;0
;;;;;686;0;0
;;;;;622;0;0
;;;;;570;0;0
;;;;;377;0;0
;;;;;356;0;0
;;;;;336;0;0
;;;;;254;0;0
;;;;;214;0;0
;;;;;200;0;0
;;;;;80;0;0
